micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
235	1	2	0.5	True
235	2	1	0.5	False
236	1	4	1	True
237	1	5	1	True
238	1	2	1	True
239	1	1	1	True
240	1	4	1	True
241	1	2	0.5	True
241	2	5	0.5	False
242	1	2	0.5	True
242	2	1	0.5	False
243	1	5	0.5	True
243	2	1	0.5	False
244	1	5	0.5	True
244	2	3	0.5	False
245	1	3	1	True
246	1	5	1	True
247	1	3	1	True
248	1	5	0.5	True
248	2	3	0.5	False
249	1	5	1	True
250	1	2	1	True
251	1	3	1	True
252	1	2	0.5	True
252	2	3	0.5	False
253	1	2	1	True
254	1	2	0.5	True
254	2	1	0.5	False
255	1	4	1	True
256	1	3	0.5	True
256	2	2	0.5	False
257	1	2	1	True
258	1	1	1	True
259	1	1	1	True
260	1	5	1	True
261	1	2	1	True
262	1	5	0.5	True
262	2	3	0.5	False
263	1	2	0.5	True
263	2	1	0.5	False
264	1	3	1	True
265	1	1	1	True
266	1	4	1	True
267	1	1	1	True
268	1	2	1	True
269	1	2	1	True
270	1	5	0.5	True
270	2	1	0.5	False
271	1	5	0.3333333333333333	True
271	2	4	0.3333333333333333	False
271	3	3	0.3333333333333333	False
272	1	2	0.5	True
272	2	1	0.5	False
273	1	5	1	True
274	1	3	1	True
275	1	3	1	True
276	1	2	1	True
277	1	2	1	True
278	1	3	0.5	True
278	2	5	0.5	False
279	1	2	1	True
280	1	2	1	True
281	1	3	1	True
282	1	1	0.5	True
282	2	5	0.5	False
283	1	2	0.5	True
283	2	5	0.5	False
284	1	4	0.5	True
284	2	3	0.5	False
285	1	2	1	True
286	1	5	0.5	True
286	2	1	0.5	False
287	1	5	1	True
288	1	5	1	True
289	1	1	1	True
290	1	2	1	True
291	1	2	1	True
292	1	2	1	True
293	1	2	1	True
294	1	2	1	True
295	1	3	1	True
296	1	2	0.5	True
296	2	4	0.5	False
297	1	1	1	True
298	1	1	0.5	True
298	2	3	0.5	False
299	1	3	1	True
300	1	2	1	True
301	1	2	1	True
302	1	4	1	True
303	1	2	0.5	True
303	2	3	0.5	False
304	1	5	1	True
305	1	5	1	True
306	1	3	1	True
307	1	2	1	True
308	1	2	1	True
309	1	2	1	True
310	1	3	1	True
311	1	3	1	True
312	1	1	0.5	True
312	2	2	0.5	False
313	1	3	1	True
314	1	1	1	True
315	1	1	0.5	True
315	2	5	0.5	False
316	1	2	1	True
317	1	5	1	True
318	1	1	1	True
319	1	4	0.5	True
319	2	1	0.5	False
320	1	5	1	True
321	1	3	1	True
322	1	2	1	True
323	1	5	1	True
324	1	4	0.5	True
324	2	3	0.5	False
