meso_cluster_id	meso_cluster_no	parent_macro_cluster_id	n_works
288	05.023	5	98864
289	06.018	6	105405
290	03.033	3	100449
291	11.012	11	98561
292	07.020	7	102335
293	01.039	1	89567
294	07.021	7	102846
295	07.022	7	103020
296	16.007	16	99338
297	04.021	4	95908
298	04.022	4	95393
299	04.023	4	97856
300	03.034	3	88264
301	13.010	13	84610
302	03.035	3	88135
303	03.036	3	94463
304	03.037	3	86508
305	11.013	11	94020
306	01.040	1	88372
307	18.004	18	92958
308	11.014	11	89947
309	11.015	11	90240
310	02.035	2	87159
311	01.041	1	87470
312	12.010	12	87279
313	03.038	3	90707
314	02.036	2	87254
315	01.042	1	86346
316	01.043	1	84915
317	17.006	17	89171
318	08.013	8	94280
319	03.039	3	90314
320	07.023	7	88987
321	04.024	4	83980
322	02.037	2	86563
323	04.025	4	93906
324	03.040	3	84450
325	01.044	1	85581
326	20.003	20	84881
327	12.011	12	87543
328	07.024	7	96081
329	01.045	1	82144
330	01.046	1	83327
331	10.013	10	99390
332	13.011	13	84650
333	01.047	1	79242
334	13.012	13	80273
335	07.025	7	98371
336	11.016	11	86937
337	05.024	5	90536
338	03.041	3	81030
339	01.048	1	81921
340	04.026	4	84583
341	14.008	14	80738
342	03.042	3	86104
343	01.049	1	78172
344	05.025	5	89259
345	01.050	1	77418
346	02.038	2	79438
347	15.012	15	77236
348	04.027	4	92445
349	05.026	5	85295
350	08.014	8	101043
351	14.009	14	80940
352	01.051	1	83425
353	02.039	2	83268
354	19.003	19	91405
355	02.040	2	77595
356	17.007	17	78452
357	01.052	1	75374
358	03.043	3	79876
359	04.028	4	84813
360	10.014	10	86159
361	01.053	1	78448
362	08.015	8	89899
363	14.010	14	77548
364	06.019	6	84114
365	17.008	17	75482
366	04.029	4	84468
367	01.054	1	78118
368	08.016	8	96087
369	08.017	8	89310
370	18.005	18	80400
371	08.018	8	87257
372	01.055	1	70306
373	05.027	5	82352
374	01.056	1	75451
375	04.030	4	74876
376	19.004	19	94832
377	08.019	8	92688
378	01.057	1	71375
379	01.058	1	72868
380	02.041	2	74556
381	11.017	11	81700
382	08.020	8	89353
383	03.044	3	80547
384	02.042	2	74633
385	01.059	1	73061
386	05.028	5	75794
387	15.013	15	72834
388	17.009	17	72802
389	02.043	2	71185
390	05.029	5	81383
391	07.026	7	76036
392	01.060	1	69260
393	07.027	7	77791
394	09.017	9	74477
395	01.061	1	68290
396	15.014	15	75784
397	01.062	1	68821
398	12.012	12	71225
399	08.021	8	87385
400	03.045	3	85955
401	02.044	2	72097
402	08.022	8	80518
403	01.063	1	69599
404	07.028	7	79452
405	01.064	1	67852
406	01.065	1	68316
407	01.066	1	69869
408	01.067	1	68762
409	04.031	4	75125
410	13.013	13	65889
411	06.020	6	78097
412	01.068	1	65611
413	06.021	6	79591
414	20.004	20	70044
415	04.032	4	71922
416	10.015	10	76571
417	07.029	7	72849
418	01.069	1	65669
419	12.013	12	67927
420	05.030	5	67436
421	01.070	1	63667
422	03.046	3	68569
423	11.018	11	70497
424	11.019	11	69355
425	12.014	12	66617
426	01.071	1	63028
427	04.033	4	66170
428	12.015	12	65197
429	01.072	1	65729
430	06.022	6	72956
431	02.045	2	64924
432	02.046	2	64146
433	04.034	4	70787
434	16.008	16	67599
435	05.031	5	65772
436	02.047	2	63893
437	20.005	20	63693
438	02.048	2	61206
439	14.011	14	61692
440	01.073	1	60641
441	10.016	10	71584
442	01.074	1	60561
443	04.035	4	68572
444	04.036	4	62270
445	01.075	1	61279
446	06.023	6	75449
447	10.017	10	112437
448	02.049	2	60298
449	08.023	8	73175
450	08.024	8	78657
451	15.015	15	62582
452	07.030	7	65916
453	09.018	9	68001
454	08.025	8	77375
455	05.032	5	62145
456	01.076	1	59482
457	02.050	2	61755
458	03.047	3	62513
459	05.033	5	66196
460	05.034	5	63802
461	03.048	3	64071
462	01.077	1	60279
463	05.035	5	66754
464	09.019	9	61437
465	15.016	15	60673
466	03.049	3	61251
467	14.012	14	59643
468	15.017	15	59300
469	06.024	6	68422
470	01.078	1	59228
471	14.013	14	59489
472	05.036	5	60322
473	01.079	1	54084
474	05.037	5	60906
475	03.050	3	62770
476	15.018	15	59467
477	04.037	4	60844
478	09.020	9	68774
479	01.080	1	55792
480	04.038	4	60354
481	05.038	5	66389
482	08.026	8	68542
483	12.016	12	58303
484	06.025	6	63721
485	02.051	2	53809
486	14.014	14	56985
487	01.081	1	53285
488	14.015	14	56589
489	05.039	5	58583
490	08.027	8	68174
491	06.026	6	64249
492	05.040	5	59547
493	14.016	14	55276
494	10.018	10	63264
495	13.014	13	53744
496	01.082	1	53343
497	10.019	10	64334
498	04.039	4	58918
499	02.052	2	54682
500	02.053	2	56754
501	03.051	3	56385
502	08.028	8	66136
503	13.015	13	53534
504	16.009	16	54581
505	07.031	7	59152
506	07.032	7	60145
507	03.052	3	53467
508	06.027	6	61528
509	13.016	13	52477
510	04.040	4	58572
511	10.020	10	57843
512	07.033	7	59338
513	10.021	10	63000
514	04.041	4	53431
515	07.034	7	57930
516	02.054	2	51205
517	06.028	6	59093
518	01.083	1	50654
519	13.017	13	46548
520	03.053	3	57652
