meso_cluster_id	source_seq	source_id	n_works
25	4	4306400194	4151
25	5	151498627	2925
25	6	2497375143	2825
25	7	109565702	2742
25	8	59604973	2725
25	9	71857517	2436
25	10	2485537415	2346
26	1	80591372	8046
26	2	36624081	5980
26	3	93478396	5791
26	4	32061424	5191
26	5	90791864	4786
26	6	55737203	4590
26	7	70522100	3544
26	8	131264402	3327
26	9	4306463937	3323
26	10	202078656	3251
27	1	4306400194	29921
27	2	164566984	21238
27	3	4210182288	11508
27	4	24807848	10988
27	5	92819544	3891
27	6	148121101	3798
27	7	194044894	3532
27	8	4306463937	3236
27	9	4210237713	3086
27	10	104875562	2998
28	1	4306400194	25544
28	2	106296714	15152
28	3	4306424877	4593
28	4	2764900261	2482
28	5	4306463937	2396
28	6	4306402512	2373
28	7	4306419219	1880
28	8	4306420508	1860
28	9	4306525036	1796
28	10	2764905038	1781
29	1	4306463855	10377
29	2	4306463937	8630
29	3	4210172589	8039
29	4	4306462995	5845
29	5	4306463716	4997
29	6	4306463708	4173
29	7	4306463717	3292
29	8	2764375719	3060
29	9	4306401271	2012
29	10	4306464262	1745
30	1	154732359	11102
30	2	87940674	7240
30	3	64016596	4670
30	4	67425620	4551
30	5	165830345	4200
30	6	127530304	3745
30	7	75411654	3626
30	8	2764696622	3593
30	9	105962883	3302
30	10	4210189194	3267
31	1	177147899	11630
31	2	198339081	11141
31	3	2764437742	7667
31	4	138759888	6781
31	5	164001016	6564
31	6	67716761	6079
31	7	2481244646	4177
31	8	149937609	3806
31	9	2502627819	3284
31	10	137979523	3253
32	1	152000018	6032
32	2	22862804	5891
32	3	4306463937	5781
32	4	53336109	4843
32	5	4306400194	3275
32	6	148709879	3250
32	7	195914795	2463
32	8	4210171160	2338
32	9	138356703	2309
32	10	4210187594	2266
33	1	4306400194	17555
33	2	55189604	5006
33	3	4210172589	4516
33	4	128350725	4478
33	5	4306463937	4208
33	6	4306401271	3141
33	7	132362803	3049
33	8	25707077	2646
33	9	153329750	2627
33	10	4394736638	2570
34	1	4306400194	36169
34	2	4210210554	16604
34	3	187585107	14062
34	4	4210238307	13624
34	5	173952182	11677
34	6	94052278	8330
34	7	4210187594	8114
34	8	4210182546	7182
34	9	24807848	5944
34	10	62159105	5689
35	1	178776955	8308
35	2	183492911	7097
35	3	105243760	5153
35	4	134390580	3259
35	5	4306400194	3192
35	6	95739953	3155
35	7	186881120	2527
35	8	143846845	2516
35	9	187991544	2506
35	10	196734849	2393
